question,answer,category,article_reference,source,year_passed
Who can vote in Cameroon? (variation 21),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 22),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 23),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 24),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 25),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 26),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 27),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 28),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 29),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 30),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 31),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 32),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 33),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 34),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 35),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 36),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 37),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 38),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 39),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 40),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 41),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 42),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 43),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 44),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 45),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 46),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 47),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 48),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who can vote in Cameroon? (variation 49),All Cameroonian citizens aged 20 and above with valid registration have the right to vote.,Elections,Varies,Cameroon Constitution / National Laws,2006
What is ELECAM? (variation 50),ELECAM is the independent body responsible for organizing and supervising elections in Cameroon.,Elections,Varies,Cameroon Constitution / National Laws,2006
Who governs municipalities? (variation 1),Municipalities are governed by mayors elected by local councilors.,Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
Who governs municipalities? (variation 2),Municipalities are governed by mayors elected by local councilors.,Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
Who governs municipalities? (variation 3),Municipalities are governed by mayors elected by local councilors.,Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
Who governs municipalities? (variation 4),Municipalities are governed by mayors elected by local councilors.,Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 5),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 6),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 7),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 8),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 9),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
What powers do regional councils have? (variation 10),"Regional councils manage local development, education, and transport under decentralization laws.",Local Governance,Varies,Cameroon Constitution / National Laws,Unknown
